,Authors,Lead sentences,Lemm Analysis,Lemmatized lead sentences,Publish Date,Title,URL
28,"Kommersant, Евгений Хвостик","Министерство юстиции США и рейтинговое агентство Moody`s сообщили о достижении соглашения, в рамках которого агентство выплатит американским властям компенсации в общей сложности на $864 млн за некорректное присвоение рейтингов ипотечным ценным бумагам в преддверии ипотечного кризиса 2007 года. Завышенные рейтинги ипотечных бумаг стали одной из главных причин ипотечного кризиса, который в 2008–2009 годах вызвал мировой финансовый кризис.","S,сред,неод=(вин,ед|им,ед) S,жен,неод=(пр,ед|вин,мн|дат,ед|род,ед|им,мн) S,сокр,гео,мн,неод=(пр|вин|дат|род|твор|им) A=(вин,ед,полн,сред|им,ед,полн,сред) S,сред,неод=(вин,ед|им,ед) V,пе=прош,мн,изъяв,сов S,сред,неод=пр,ед S,сред,неод=(вин,мн|род,ед|им,мн) S,жен,неод=пр,мн APRO=(вин,ед,муж,од|род,ед,муж|род,ед,сред) S,сред,неод=(вин,ед|им,ед) V,пе=непрош,ед,изъяв,3-л,сов A=(дат,мн,полн|твор,ед,полн,муж|твор,ед,полн,сред) S,жен,неод=дат,мн S,жен,неод=(пр,ед|вин,мн|дат,ед|род,ед|им,мн) A=(пр,ед,полн,жен|дат,ед,полн,жен|род,ед,полн,жен|твор,ед,полн,жен|срав) S,жен,неод=(пр,ед|вин,мн|дат,ед|род,ед|им,мн) A=(вин,ед,полн,сред|им,ед,полн,сред) S,сред,неод=(вин,ед|им,ед) S,муж,неод=род,мн A=(дат,мн,полн|твор,ед,полн,муж|твор,ед,полн,сред) A=(дат,мн,полн|твор,ед,полн,муж|твор,ед,полн,сред) S,жен,неод=дат,мн S,сред,неод=пр,ед A=(вин,ед,полн,муж,од|род,ед,полн,муж|род,ед,полн,сред) S,муж,неод=род,ед S,муж,неод=(вин,мн|род,ед|им,мн) V=(прош,вин,мн,прич,полн,сов,страд,неод,пе|прош,им,мн,прич,полн,сов,страд,пе) S,муж,неод=(вин,мн|им,мн) A=(пр,мн,полн|вин,мн,полн,од|род,мн,полн) S,жен,неод=род,мн V,нп=прош,мн,изъяв,сов APRO=(пр,ед,жен|дат,ед,жен|род,ед,жен|твор,ед,жен) A=(пр,мн,полн|вин,мн,полн,од|род,мн,полн) S,жен,неод=род,мн A=(вин,ед,полн,муж,од|род,ед,полн,муж|род,ед,полн,сред) S,муж,неод=род,ед APRO=(вин,ед,муж,неод|им,ед,муж) S,муж,неод=пр,мн V,пе=прош,ед,изъяв,муж,сов A=(вин,ед,полн,муж,неод|им,ед,полн,муж|пр,ед,полн,жен|дат,ед,полн,жен|род,ед,полн,жен|твор,ед,полн,жен) A=(вин,ед,полн,муж,неод|им,ед,полн,муж) S,муж,неод=(вин,ед|им,ед) ","министерство юстиция сша рейтинговый агентство Moody s сообщать достижение соглашение рамка который агентство выплачивать американский власть компенсация общий сложность некорректный присвоение рейтинг ипотечный ценный бумага преддверие ипотечный кризис год завышать рейтинг ипотечный бумага становиться один главный причина ипотечный кризис который год вызывать мировой финансовый кризис
",2017-01-15T16:02:08+03:00,В рамках соглашения с Минюстом США и властями 22 штатов,https://www.kommersant.ru/doc/3193505
29,"Kommersant, Павел Аксенов","В понедельник в середине дня технический сбой заставил Московскую биржу приостановить торги в секции фондового рынка. Из-за ошибки в программном обеспечении участники рынка не могли заключать сделки на торговой площадке в течение 46 минут. Впрочем, время для форс-мажора оказалось на редкость удачным — он совпал с российским обедом и американским выходным.","S,сокр=(пр,мн|пр,ед|вин,мн|вин,ед|дат,мн|дат,ед|род,мн|род,ед|твор,мн|твор,ед|им,мн|им,ед) S,муж,неод=(вин,ед|им,ед) S,жен,неод=(пр,ед|дат,ед) S,муж,неод=род,ед A=(вин,ед,полн,муж,неод|им,ед,полн,муж) S,муж,неод=(вин,ед|им,ед) V,пе=прош,ед,изъяв,муж,сов A=вин,ед,полн,жен S,жен,неод=вин,ед V,пе=инф,сов S,мн,неод=(вин|им) S,жен,неод=(пр,ед|вин,мн|дат,ед|род,ед|им,мн) A=(вин,ед,полн,муж,од|род,ед,полн,муж|род,ед,полн,сред) S,муж,неод=род,ед S,имя,жен,од=им,ед S,жен,неод=(вин,мн|род,ед|им,мн) A=(пр,ед,полн,муж|пр,ед,полн,сред) S,сред,неод=пр,ед S,муж,од=им,мн S,муж,неод=род,ед V,несов,нп=прош,мн,изъяв V,пе=инф,несов S,жен,неод=(вин,мн|род,ед|им,мн) A=(пр,ед,полн,жен|дат,ед,полн,жен|род,ед,полн,жен|твор,ед,полн,жен) S,жен,неод=(пр,ед|дат,ед) S,сред,неод=(вин,ед|им,ед) S,жен,неод=род,мн CONJ,вводн= S,сред,неод=(вин,ед|им,ед) S,муж,неод=род,ед V,нп=прош,ед,изъяв,сред,сов S,жен,неод=(вин,ед|им,ед) A=(дат,мн,полн|твор,ед,полн,муж|твор,ед,полн,сред) V,нп=прош,ед,изъяв,муж,сов A=(дат,мн,полн|твор,ед,полн,муж|твор,ед,полн,сред) S,муж,неод=твор,ед A=(дат,мн,полн|твор,ед,полн,муж|твор,ед,полн,сред) S,муж,неод=(дат,мн|твор,ед) ","в понедельник середина день технический сбой заставлять московский биржа приостанавливать торги секция фондовый рынок изза ошибка программный обеспечение участник рынок мочь заключать сделка торговый площадка течение минута впрочем время форсмажор оказываться редкость удачный совпадать российский обед американский выходной
",2017-01-16T21:39:35+03:00,Торги на фондовом рынке были приостановлены на 46 минут,https://www.kommersant.ru/doc/3194264
30,"Kommersant, Павел Аксенов","Минтруд предлагает исключить возможность оформления заявлений граждан о переводе пенсионных накоплений с использованием электронной подписи, формируемой независимыми удостоверяющими центрами. Учитывая, что по этому каналу идет абсолютное большинство заявлений, реализация инициативы может серьезно затруднить переход ""молчунов"" в негосударственные пенсионные фонды (НПФ). Минфин и Минэкономики уже отрицательно оценили проект, однако окончательное решение остается за правительством.","S,муж,неод=(вин,ед|им,ед) V,пе=непрош,ед,изъяв,3-л,несов V,пе=инф,сов S,жен,неод=(вин,ед|им,ед) S,сред,неод=(вин,мн|род,ед|им,мн) S,сред,неод=род,мн S,муж,од=(вин,мн|род,мн) S,муж,неод=пр,ед A=(пр,мн,полн|вин,мн,полн,од|род,мн,полн) S,сред,неод=род,мн S,сред,неод=твор,ед A=(пр,ед,полн,жен|дат,ед,полн,жен|род,ед,полн,жен|твор,ед,полн,жен) S,жен,неод=(пр,ед|вин,мн|дат,ед|род,ед|им,мн) V,несов,пе=(непрош,пр,ед,прич,полн,жен,страд|непрош,дат,ед,прич,полн,жен,страд|непрош,род,ед,прич,полн,жен,страд|непрош,твор,ед,прич,полн,жен,страд) A=твор,мн,полн V,пе=непрош,твор,мн,прич,полн,несов,действ S,муж,неод=твор,мн V=непрош,деепр,несов,пе SPRO,ед,сред,неод=дат S,муж,неод=дат,ед V,несов,нп=непрош,ед,изъяв,3-л A=(вин,ед,полн,сред|им,ед,полн,сред) S,ед,сред,неод=(вин|им) S,сред,неод=род,мн S,жен,неод=им,ед S,жен,неод=(вин,мн|род,ед|им,мн) ADV= V,пе=инф,сов S,муж,неод=(вин,ед|им,ед) S,муж,од=(вин,мн|род,мн) A,полн=(им,мн|вин,мн,неод) A=(вин,мн,полн,неод|им,мн,полн) S,муж,неод=(вин,мн|им,мн) S,муж,неод=(вин,ед|им,ед) S,сред,неод=(пр,мн|пр,ед|вин,мн|вин,ед|дат,мн|дат,ед|род,мн|род,ед|твор,мн|твор,ед|им,мн|им,ед) ADV= V,пе=прош,мн,изъяв,сов S,муж,неод=(вин,ед|им,ед) CONJ= A=(вин,ед,полн,сред|им,ед,полн,сред) S,сред,неод=(вин,ед|им,ед) V,нп=непрош,ед,изъяв,3-л,несов S,сред,неод=твор,ед ","минтруд предлагать исключать возможность оформление заявление гражданин перевод пенсионный накопление использование электронный подпись формировать независимый удостоверять центр учитывать этот канал идти абсолютный большинство заявление реализация инициатива серьезно затруднять переход молчун негосударственный пенсионный фонд НПФ минфин минэкономики отрицательно оценивать проект однако окончательный решение оставаться правительство
",2017-01-16T00:00:00+03:00,Минтруд хочет затруднить гражданам перевод пенсионных средств,https://www.kommersant.ru/doc/3193584
31,"Kommersant, Анна Макеева","Российские студенты лишились доступа к образовательным кредитам с государственной поддержкой. О приостановке кредитования на специальных условиях объявил единственный выдававший такие займы банк — Сбербанк, объяснив это оптимизацией государственной программы. В Минобрнауки заявили, что выдача кредитов заморожена из-за необходимости привести в соответствие с новыми требованиями правительства документы, а сокращение финансирования программы не планируется.","A=(вин,мн,полн,неод|им,мн,полн) S,муж,од=им,мн V,нп=прош,мн,изъяв,сов S,муж,неод=род,ед A=(дат,мн,полн|твор,ед,полн,муж|твор,ед,полн,сред) S,муж,неод=дат,мн A=(пр,ед,полн,жен|дат,ед,полн,жен|род,ед,полн,жен|твор,ед,полн,жен) S,жен,неод=твор,ед INTJ= S,жен,неод=(пр,ед|дат,ед) S,сред,неод=(вин,мн|род,ед|им,мн) A=(пр,мн,полн|вин,мн,полн,од|род,мн,полн) S,сред,неод=пр,мн V,пе=прош,ед,изъяв,муж,сов A=(вин,ед,полн,муж,неод|им,ед,полн,муж) V,пе=(прош,вин,ед,прич,полн,муж,несов,действ,неод|прош,им,ед,прич,полн,муж,несов,действ) APRO=(им,мн|вин,мн,неод) S,муж,неод=(вин,мн|им,мн) S,муж,неод=(вин,ед|им,ед) S,муж,неод=(вин,ед|им,ед) V,пе=прош,деепр,сов S,жен,неод=твор,ед A=(пр,ед,полн,жен|дат,ед,полн,жен|род,ед,полн,жен|твор,ед,полн,жен) S,жен,неод=(вин,мн|род,ед|им,мн) S,сокр=(пр,мн|пр,ед|вин,мн|вин,ед|дат,мн|дат,ед|род,мн|род,ед|твор,мн|твор,ед|им,мн|им,ед) S,жен,неод=(вин,мн|род,ед|им,мн) V,пе=прош,мн,изъяв,сов S,жен,неод=им,ед S,муж,неод=род,мн V=прош,ед,прич,кр,жен,сов,страд,пе S,имя,жен,од=им,ед S,жен,неод=(пр,ед|вин,мн|дат,ед|род,ед|им,мн) V=инф,сов S,сред,неод=(вин,ед|им,ед) A=твор,мн,полн S,сред,неод=твор,мн S,сред,неод=(вин,мн|род,ед|им,мн) S,муж,неод=(вин,мн|им,мн) S,сред,неод=(вин,ед|им,ед) S,сред,неод=(вин,мн|род,ед|им,мн) S,жен,неод=(вин,мн|род,ед|им,мн) V,несов,нп=непрош,ед,изъяв,3-л ","российский студент лишаться доступ образовательный кредит государственный поддержка о приостановка кредитование специальный условие объявлять единственный выдавать такой заем банк сбербанк объяснять оптимизация государственный программа в минобрнаука заявлять выдача кредит замораживать изза необходимость приводить соответствие новый требование правительство документ сокращение финансирование программа планироваться
",2017-01-16T00:00:00+03:00,Сбербанк приостановил программу образовательных кредитов,https://www.kommersant.ru/doc/3193611
32,"Kommersant, Юлия Полякова","Основной бенефициар микрофинансовой организации (МФО) ""Домашние деньги"" Евгений Бернштам ищет инвестора среди банков и даже готов расстаться с контролем в компании, сообщили источники ""Ъ"". ""Домашние деньги"" нуждаются как в финансировании текущей деятельности, так и в капитальном финансировании — для выполнения ужесточаемых требований ЦБ по резервам. Господин Бернштам эту информацию опровергает.","A=(вин,ед,полн,муж,неод|им,ед,полн,муж|пр,ед,полн,жен|дат,ед,полн,жен|род,ед,полн,жен|твор,ед,полн,жен) S,муж,од=им,ед A,полн=(пр,ед,жен|дат,ед,жен|род,ед,жен|твор,ед,жен) S,жен,неод=(пр,ед|вин,мн|дат,ед|род,ед|им,мн) S,сокр=(пр,мн|пр,ед|вин,мн|вин,ед|дат,мн|дат,ед|род,мн|род,ед|твор,мн|твор,ед|им,мн|им,ед) S,мн,од=им S,мн,неод=(вин|им) S,имя,муж,од=им,ед S,фам,муж,од=им,ед V,несов,пе=непрош,ед,изъяв,3-л S,муж,од=(вин,ед|род,ед) PR= S,муж,неод=род,мн A=ед,кр,муж V,нп=инф,сов S,муж,неод=твор,ед S,жен,неод=(пр,ед|вин,мн|дат,ед|род,ед|им,мн) V,пе=прош,мн,изъяв,сов S,муж,неод=(вин,мн|им,мн) S,мн,од=им S,мн,неод=(вин|им) V,несов,нп=непрош,мн,изъяв,3-л S,сред,неод=пр,ед A=(пр,ед,полн,жен|дат,ед,полн,жен|род,ед,полн,жен|твор,ед,полн,жен|срав) S,жен,неод=(пр,ед|вин,мн|дат,ед|род,ед|им,мн) A=(пр,ед,полн,муж|пр,ед,полн,сред) S,сред,неод=пр,ед S,сред,неод=(вин,мн|род,ед|им,мн) V,несов,пе=(непрош,пр,мн,прич,полн,страд|непрош,вин,мн,прич,полн,страд,од|непрош,род,мн,прич,полн,страд) S,сред,неод=род,мн S,сред,неод=(пр,мн|пр,ед|вин,мн|вин,ед|дат,мн|дат,ед|род,мн|род,ед|твор,мн|твор,ед|им,мн|им,ед) S,муж,неод=дат,мн S,муж,од=им,ед S,фам,муж,од=им,ед S,жен,неод=вин,ед V,пе=непрош,ед,изъяв,3-л,несов ","основной бенефициар микрофинансовый организация мфо домашние деньги евгений бернштам искать инвестор среди банк готовый расставаться контроль компания сообщать источник Ъ домашние деньги нуждаться финансирование текущий деятельность капитальный финансирование выполнение ужесточать требование цб резерв господин бернштам информация опровергать
",2017-01-16T00:00:00+03:00,Инвесторам предлагают контроль над компанией,https://www.kommersant.ru/doc/3193595
33,"Kommersant, Вероника Горячева","Минфин предложил банкам алгоритм выявления индивидуальных предпринимателей (ИП), заблокированных налоговиками за неуплату. Такие граждане должны быть лишены возможности открытия новых счетов как физлица, настаивают в министерстве. Впрочем, банки предложенным механизмом пользоваться не хотят, в отсутствие автоматизации процесса они предпочитают уклоняться от проверок граждан на ""предприимчивость"", отделываясь минимальными штрафами.","S,муж,неод=(вин,ед|им,ед) V,пе=прош,ед,изъяв,муж,сов S,муж,неод=дат,мн S,муж,неод=(вин,ед|им,ед) S,сред,неод=(вин,мн|род,ед|им,мн) A=(пр,мн,полн|вин,мн,полн,од|род,мн,полн) S,муж,од=(вин,мн|род,мн) V,разг,обсц,несов=прош,ед,изъяв,муж V,сов,пе=(прош,пр,мн,прич,полн,страд|прош,вин,мн,прич,полн,страд,од|прош,род,мн,прич,полн,страд) S,муж,од=твор,мн S,жен,неод=вин,ед APRO=(им,мн|вин,мн,неод) S,муж,од=им,мн A=мн,кр V,пе=прош,мн,прич,кр,сов,страд S,жен,неод=(пр,ед|вин,мн|дат,ед|род,ед|им,мн) S,сред,неод=(вин,мн|род,ед|им,мн) A=(пр,мн,полн|вин,мн,полн,од|род,мн,полн) S,муж,неод=род,мн S,сред,неод=(вин,мн|род,ед|им,мн) V,нп=непрош,мн,изъяв,3-л,несов S,сред,неод=пр,ед CONJ,вводн= S,муж,неод=(вин,мн|им,мн) V,пе=(прош,дат,мн,прич,полн,сов,страд|прош,твор,ед,прич,полн,муж,сов,страд|прош,твор,ед,прич,полн,сред,сов,страд) S,муж,неод=твор,ед V,несов,нп=инф V,несов,пе=непрош,мн,изъяв,3-л S,сред,неод=(вин,ед|им,ед) S,жен,неод=(пр,ед|вин,мн|дат,ед|род,ед|им,мн) S,муж,неод=род,ед V=непрош,мн,изъяв,3-л,несов,пе V,нп=инф,несов S,жен,неод=род,мн S,муж,од=(вин,мн|род,мн) S,жен,неод=(вин,ед|им,ед) V,нп=непрош,деепр,несов A=твор,мн,полн S,муж,неод=твор,мн ","минфин предлагать банк алгоритм выявление индивидуальный предприниматель ипать заблокировать налоговик неуплата такой гражданин должный лишать возможность открытие новый счет физлицо настаивать министерство впрочем банка предлагать механизм пользоваться хотеть отсутствие автоматизация процесс предпочитать уклоняться проверка гражданин предприимчивость отделываться минимальный штраф
",2017-01-16T00:00:00+03:00,Они не спешат бороться с налоговыми должниками,https://www.kommersant.ru/doc/3193596
34,"Kommersant, Мария Сарычева","Три крупнейших международных рейтинговых агентства подали заявки на регистрацию филиалов в ЦБ. Таким образом, ""большая тройка"" согласилась с тем, что сможет присваивать в России только рейтинги по международной шкале. Однако на горизонте двух-трех лет сохраняется вероятность переформатирования их филиалов в полноценные дочерние компании, что обострит конкуренцию на российском рейтинговом рынке.","NUM=(им|вин,неод) A=(пр,мн,полн,прев|вин,мн,полн,прев,од|род,мн,полн,прев) A=(пр,мн,полн|вин,мн,полн,од|род,мн,полн) A=(пр,мн,полн|вин,мн,полн,од|род,мн,полн) S,сред,неод=(вин,мн|род,ед|им,мн) V,пе=прош,мн,изъяв,сов S,жен,неод=(вин,мн|род,ед|им,мн) S,жен,неод=вин,ед S,муж,неод=род,мн S,сред,неод=(пр,мн|пр,ед|вин,мн|вин,ед|дат,мн|дат,ед|род,мн|род,ед|твор,мн|твор,ед|им,мн|им,ед) APRO=(дат,мн|твор,ед,муж|твор,ед,сред) S,муж,неод=твор,ед A=им,ед,полн,жен S,жен,неод=им,ед V,нп=прош,ед,изъяв,жен,сов V,сов,нп=непрош,ед,изъяв,3-л V,пе=инф,несов S,гео,жен,неод=(пр,ед|вин,мн|дат,ед|род,ед|им,мн) S,муж,неод=(вин,мн|им,мн) A=(пр,ед,полн,жен|дат,ед,полн,жен|род,ед,полн,жен|твор,ед,полн,жен) S,жен,неод=(пр,ед|дат,ед) CONJ= S,муж,неод=пр,ед S,жен,неод=род,мн S,муж,неод=род,мн V,нп=непрош,ед,изъяв,3-л,несов S,жен,неод=(вин,ед|им,ед) S,сред,неод=(вин,мн|род,ед|им,мн) S,муж,неод=род,мн A=(вин,мн,полн,неод|им,мн,полн) A=(вин,мн,полн,неод|им,мн,полн) S,жен,неод=(пр,ед|вин,мн|дат,ед|род,ед|им,мн) V,пе=непрош,ед,изъяв,3-л,сов S,жен,неод=вин,ед A=(пр,ед,полн,муж|пр,ед,полн,сред) A=(пр,ед,полн,муж|пр,ед,полн,сред) S,муж,неод=пр,ед ","три крупный международный рейтинговый агентство подавать заявка регистрация филиал цб такой образ большой тройка соглашаться смочь присваивать россия рейтинг международный шкала однако горизонт двухтреха год сохраняться вероятность переформатирование филиал полноценный дочерний компания обострять конкуренция российский рейтинговый рынок
",2017-01-16T00:00:00+03:00,Международные рейтинговые агентства остаются в России,https://www.kommersant.ru/doc/3193580
35,"Kommersant, Юлия Полякова, Павел Аксенов","НПФ РГС с высокой вероятностью войдет в периметр сделки по объединению активов группы ""Росгосстрах"" и ""Открытия"". По информации ""Ъ"", планируется, что под контроль ""Открытия"" перейдут страховая компания (СК), Росгосстрах-банк и НПФ РГС, а процедура M&amp;A займет около полугода. Эксперты называют НПФ наиболее ликвидным активом ""Росгосстраха"", указывая, что эта сделка может стать самой дорогой за всю историю пенсионного рынка.","A=(пр,ед,полн,жен|дат,ед,полн,жен|род,ед,полн,жен|твор,ед,полн,жен) S,жен,неод=твор,ед V,нп=непрош,ед,изъяв,3-л,сов S,муж,неод=(вин,ед|им,ед) S,жен,неод=(вин,мн|род,ед|им,мн) S,сред,неод=дат,ед S,муж,неод=род,мн S,жен,неод=(вин,мн|род,ед|им,мн) S,муж,неод=(вин,ед|им,ед) S,сред,неод=(вин,мн|род,ед|им,мн) PR= S,жен,неод=(пр,ед|вин,мн|дат,ед|род,ед|им,мн) V,несов,нп=непрош,ед,изъяв,3-л S,муж,неод=(вин,ед|им,ед) S,сред,неод=(вин,мн|род,ед|им,мн) V,пе=непрош,мн,изъяв,3-л,сов A=им,ед,полн,жен S,жен,неод=им,ед S,сокр=(пр,мн|пр,ед|вин,мн|вин,ед|дат,мн|дат,ед|род,мн|род,ед|твор,мн|твор,ед|им,мн|им,ед) S,муж,неод=(вин,ед|им,ед) S,жен,неод=им,ед V=непрош,ед,изъяв,3-л,сов ADV= S,муж,неод=род,ед S,муж,од=им,мн V,пе=непрош,мн,изъяв,3-л,несов ADV= A=(дат,мн,полн|твор,ед,полн,муж|твор,ед,полн,сред) S,муж,неод=твор,ед S,муж,неод=род,ед V=непрош,деепр,несов,пе APRO=им,ед,жен S,жен,неод=им,ед V,нп=инф,сов APRO=(пр,ед,жен|дат,ед,жен|род,ед,жен|твор,ед,жен) A=(вин,ед,полн,муж,неод|им,ед,полн,муж|пр,ед,полн,жен|дат,ед,полн,жен|род,ед,полн,жен|твор,ед,полн,жен) S,жен,неод=вин,ед A=(вин,ед,полн,муж,од|род,ед,полн,муж|род,ед,полн,сред) S,муж,неод=род,ед ","НПФ РГС высокий вероятность входить периметр сделка объединение актив группа росгосстрах открытие по информация Ъ планироваться контроль открытие переходить страховой компания ск росгосстрахбанк НПФ РГС процедура M amp A занимать около полгода эксперт называть НПФ наиболее ликвидный актив росгосстрах указывать этот сделка становиться самый дорогой история пенсионный рынок
",2017-01-16T00:00:00+03:00,"В сделку с ""Росгосстрахом"" может войти НПФ",https://www.kommersant.ru/doc/3193577
36,"Kommersant, Александра Мерцалова","Рост спроса на поездки по России замедлился не только в сегменте организованного туризма, но и среди путешественников, которые делают самостоятельные бронирования. В этом году, по прогнозу участников рынка, популярность внутренних направлений может не вырасти впервые за несколько лет. На этом фоне положительную динамику показывают зарубежные направления: на некоторые из них спрос уже вырос более чем в два раза.","S,муж,неод=(вин,ед|им,ед) S,муж,неод=род,ед S,жен,неод=(вин,мн|род,ед|им,мн) S,гео,жен,неод=(пр,ед|вин,мн|дат,ед|род,ед|им,мн) V,нп=прош,ед,изъяв,муж,сов S,муж,неод=пр,ед A=(вин,ед,полн,муж,од|род,ед,полн,муж|род,ед,полн,сред) S,муж,неод=род,ед PR= S,муж,од=(вин,мн|род,мн) APRO=(им,мн|вин,мн,неод) V,несов,пе=непрош,мн,изъяв,3-л A=(вин,мн,полн,неод|им,мн,полн) S,сред,неод=(вин,мн|род,ед|им,мн) S,сокр=(пр,мн|пр,ед|вин,мн|вин,ед|дат,мн|дат,ед|род,мн|род,ед|твор,мн|твор,ед|им,мн|им,ед) S,муж,неод=(дат,ед|местн,ед) S,муж,неод=дат,ед S,муж,од=(вин,мн|род,мн) S,муж,неод=род,ед S,жен,неод=(вин,ед|им,ед) A=(пр,мн,полн|вин,мн,полн,од|род,мн,полн) S,сред,неод=род,мн V,нп=(инф,сов|ед,пов,2-л,сов) ADV= ADV= S,муж,неод=род,мн PR= S,муж,неод=пр,ед A=вин,ед,полн,жен S,жен,неод=вин,ед V=непрош,мн,изъяв,3-л,несов,пе A=(вин,мн,полн,неод|им,мн,полн) S,сред,неод=(вин,мн|род,ед|им,мн) SPRO,мн=(вин|им) S,муж,неод=(вин,ед|им,ед) V,нп=прош,ед,изъяв,муж,сов S,муж,неод=род,ед ","рост спрос поездка россия замедляться сегмент организованный туризм среди путешественник который делать самостоятельный бронирование в год прогноз участник рынок популярность внутренний направление вырастать впервые несколько год на фон положительный динамика показывать зарубежный направление некоторый спрос вырастать раз
",2017-01-16T00:00:00+03:00,Число самостоятельных поездок за рубеж может вырасти,https://www.kommersant.ru/doc/3193565
37,"Kommersant, Вероника Горячева","Для усиления блока внутреннего аудита ЦБ начал активно приглашать на работу аудиторов, специализирующихся на проверке банков, НПФ, страховых компаний и т. д. После значительных перестановок в центральном аппарате регулятора привлечение опытных кадров в блок внутреннего аудита выглядит логичным. Однако в результате таких действий ЦБ может снизиться качество той самой отчетности игроков финансового рынка, которую регулятору предстоит проверять.","PR= S,сред,неод=(вин,мн|род,ед|им,мн) S,муж,неод=род,ед A=(вин,ед,полн,муж,од|род,ед,полн,муж|род,ед,полн,сред) S,муж,неод=род,ед S,сред,неод=(пр,мн|пр,ед|вин,мн|вин,ед|дат,мн|дат,ед|род,мн|род,ед|твор,мн|твор,ед|им,мн|им,ед) V,пе=прош,ед,изъяв,муж,сов ADV= V=инф,несов,пе S,жен,неод=вин,ед S,муж,од=(вин,мн|род,мн) V,несов,нп=(непрош,пр,мн,прич,полн,действ|непрош,род,мн,прич,полн,действ|непрош,вин,мн,прич,полн,действ,од) S,жен,неод=(пр,ед|дат,ед) S,муж,неод=род,мн A=(пр,мн,полн|вин,мн,полн,од|род,мн,полн) S,жен,неод=род,мн S,сокр=(пр,мн|пр,ед|вин,мн|вин,ед|дат,мн|дат,ед|род,мн|род,ед|твор,мн|твор,ед|им,мн|им,ед) S,сокр=(пр,мн|пр,ед|вин,мн|вин,ед|дат,мн|дат,ед|род,мн|род,ед|твор,мн|твор,ед|им,мн|им,ед) ADV= A=(пр,мн,полн|вин,мн,полн,од|род,мн,полн) S,жен,неод=род,мн A=(пр,ед,полн,муж|пр,ед,полн,сред) S,муж,неод=пр,ед S,муж,неод=род,ед S,сред,неод=(вин,ед|им,ед) A=(пр,мн,полн|вин,мн,полн,од|род,мн,полн) S,муж,неод=род,мн S,муж,неод=(вин,ед|им,ед) A=(вин,ед,полн,муж,од|род,ед,полн,муж|род,ед,полн,сред) S,муж,неод=род,ед V,несов=непрош,ед,изъяв,3-л,нп A=(дат,мн,полн|твор,ед,полн,муж|твор,ед,полн,сред) CONJ= S,муж,неод=пр,ед APRO=(пр,мн|род,мн|вин,мн,од) S,сред,неод=род,мн S,сред,неод=(пр,мн|пр,ед|вин,мн|вин,ед|дат,мн|дат,ед|род,мн|род,ед|твор,мн|твор,ед|им,мн|им,ед) V,нп=инф,сов S,сред,неод=(вин,ед|им,ед) APRO=(пр,ед,жен|дат,ед,жен|род,ед,жен|твор,ед,жен) APRO=(пр,ед,жен|дат,ед,жен|род,ед,жен|твор,ед,жен) S,жен,неод=(пр,ед|вин,мн|дат,ед|род,ед|им,мн) S,муж,од=(вин,мн|род,мн) A=(вин,ед,полн,муж,од|род,ед,полн,муж|род,ед,полн,сред) S,муж,неод=род,ед APRO=вин,ед,жен S,муж,неод=дат,ед V,несов,нп=непрош,ед,изъяв,3-л V,пе=инф,несов ","для усиление блок внутренний аудит цб начинать активно приглашать работа аудитор специализироваться проверка банк НПФ страховой компания т д после значительный перестановка центральный аппарат регулятор привлечение опытный кадры блок внутренний аудит выглядеть логичный однако результат такой действие цб снижаться качество тот самый отчетность игрок финансовый рынок который регулятор предстоять проверять
",2017-01-17T00:00:00+03:00,Аудиторов финансовых компаний ЦБ привлекает для собственных нужд,https://www.kommersant.ru/doc/3194342
