Date,MSFT,SPY,TLT
2011-10-25,22.65877,108.209282,98.220261
2011-10-26,22.47283,109.30854,96.504372
2011-10-27,23.030635999999998,113.116302,93.233147
2011-10-28,22.802443,113.08991999999999,94.213699
2011-10-31,22.506636,110.3638,97.94973
2011-11-01,21.965734,107.28593400000001,101.228531
2011-11-02,21.982637,109.035904,99.965851
2011-11-03,22.422119,111.023354,98.592987
2011-11-04,22.185472,110.346207,98.711624
2011-11-07,22.650312,111.03211200000001,99.338737
2011-11-08,22.954570999999998,112.456726,98.067566
2011-11-09,22.143221,108.30600700000001,100.10144
2011-11-10,22.210831,109.326118,98.609909
2011-11-11,22.74328,111.383904,98.008247
2011-11-14,22.616507000000002,110.328621,99.584503
2011-11-15,22.769781,110.873833,99.448898
2011-11-16,22.199263000000002,109.115059,100.355705
2011-11-17,21.747951999999998,107.382668,101.160782
2011-11-18,21.543589,107.26834099999999,101.13533000000001
2011-11-21,21.28813,105.228149,101.737053
2011-11-22,21.109306,104.814835,102.872612
2011-11-23,20.836817,102.502045,103.881111
2011-11-25,20.692062,102.308548,102.37262700000001
2011-11-28,21.177429,105.27211799999999,102.321754
2011-11-29,21.151882,105.57112099999999,101.482811
2011-11-30,21.782014999999998,109.915306,99.898041
2011-12-01,21.526557999999998,109.897705,99.39679
2011-12-02,21.475464000000002,109.80101,100.790077
2011-12-05,21.884195000000002,110.99695600000001,100.586189
2011-12-06,21.850142,111.03211200000001,99.62616700000001
2011-12-07,21.799046,111.445457,99.982986
2011-12-08,21.628735,109.00073200000001,101.231842
2011-12-09,21.884195000000002,110.847473,99.150452
2011-12-12,21.722407999999998,109.22938500000001,100.254852
2011-12-13,21.935287,108.209282,101.18935400000001
2011-12-14,21.790531,107.05728899999998,103.100838
2011-12-15,21.764979999999998,107.444229,102.718544
2011-12-16,22.139651999999998,107.60351599999998,103.916397
2011-12-19,21.739437,106.453033,105.23319199999999
2011-12-20,22.165198999999998,109.674355,102.608124
2011-12-21,21.935287,109.886742,101.18085500000001
2011-12-22,21.977860999999997,110.860207,101.605637
2011-12-23,22.165198999999998,111.851372,100.47575400000001
2011-12-27,22.173714,111.93988,100.95303299999999
2011-12-28,21.986376,110.47081000000001,102.819519
2011-12-29,22.156682999999997,111.61241100000001,103.007042
2011-12-30,22.105593,111.063759,103.339394
2012-01-03,22.795326,112.833694,101.78827700000001
2012-01-04,23.331791,113.010681,100.578026
2012-01-05,23.570217,113.31154599999999,100.39904
2012-01-06,23.936375,113.019524,101.191643
2012-01-09,23.621305,113.293869,101.01268
2012-01-10,23.706455,114.276176,100.84221600000001
2012-01-11,23.60428,114.338127,102.154762
2012-01-12,23.842705,114.61248,102.009834
2012-01-13,24.055588,114.019547,103.024055
2012-01-17,24.064098,114.462029,103.50135
2012-01-18,24.038555,115.727539,102.248489
2012-01-19,23.944885,116.33818799999999,100.84221600000001
2012-01-20,25.298810999999997,116.771782,99.70015699999999
2012-01-23,25.315845,116.470909,99.069496
2012-01-24,24.983749,116.33818799999999,99.248459
2012-01-25,25.171083,117.311623,99.009827
2012-01-26,25.119987,116.709892,100.322357
2012-01-27,24.890079,116.65676100000002,100.63768
2012-01-30,25.213661,116.25848400000001,101.822357
2012-01-31,25.145538000000002,116.21428700000001,102.99850500000001
2012-02-01,25.452087,117.23198700000002,101.81868
2012-02-02,25.503176,117.417824,101.775932
2012-02-03,25.750120000000003,119.06384299999999,99.58890500000001
2012-02-06,25.716057,118.98423799999999,100.57991
2012-02-07,25.843788,119.28511,99.332603
2012-02-08,26.107758999999998,119.63911399999999,99.409515
2012-02-09,26.201431,119.789551,98.66617600000001
2012-02-10,25.971519,118.90461,99.947716
2012-02-13,26.039639,119.789551,100.075836
2012-02-14,25.928210999999997,119.63911399999999,100.605522
